Timestamp,Distance (mm)
2024-05-27 14:40:59,159
2024-05-27 14:41:01,161
2024-05-27 14:41:03,161
2024-05-27 14:41:05,161
2024-05-27 14:41:07,162
2024-05-27 14:41:09,159
2024-05-27 14:41:11,160
2024-05-27 14:41:13,157
2024-05-27 14:41:15,159
2024-05-27 14:41:17,161
2024-05-27 14:41:19,162
2024-05-27 14:41:21,161
2024-05-27 14:41:23,160
2024-05-27 14:41:25,158
2024-05-27 14:41:27,160
2024-05-27 14:41:29,159
2024-05-27 14:41:31,160
2024-05-27 14:41:33,161
2024-05-27 14:41:35,161
2024-05-27 14:41:37,160
2024-05-27 14:41:39,162
2024-05-27 14:41:41,160
2024-05-27 14:41:43,160
2024-05-27 14:41:45,162
2024-05-27 14:41:47,159
2024-05-27 14:41:49,160
2024-05-27 14:41:51,160
2024-05-27 14:41:53,162
2024-05-27 14:41:55,161
2024-05-27 14:41:57,161
2024-05-27 14:41:59,161
2024-05-27 14:42:01,160
